NAME,R,A,PER,ORBREF,ORBURL,FIRSTREF,FIRSTURL,DISCMETH,STAR,RSTAR,NCOMP,TEFF,JSNAME,EPEURL
55 Cnc f,0,0.7735669017,261.2,Endl 2012,http://arxiv.org/abs/1208.5769,Fischer 2008,http://adsabs.harvard.edu/abs/2008ApJ...675..790F,RV,55 Cnc,0.9476209879,5,5196,55 Cnc,http://exoplanet.eu/star.php?st=55+Cnc
55 Cnc b,0,0.1133765429,14.651,Endl 2012,http://arxiv.org/abs/1208.5769,Butler 1997,http://adsabs.harvard.edu/abs/1997ApJ...474L.115B,RV,55 Cnc,0.9476209879,5,5196,55 Cnc,http://exoplanet.eu/star.php?st=55+Cnc
HD 75898 b,0,1.189060092,418.20001,Robinson 2007,http://adsabs.harvard.edu/abs/2007ApJ...670.1391R,Robinson 2007,http://adsabs.harvard.edu/abs/2007ApJ...670.1391R,RV,HD 75898,1.5457594395,1,6021,HD 75898,http://exoplanet.eu/star.php?st=HD+75898
HD 76700 b,0,0.0511050671,3.97097,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,RV,HD 76700,1.2353023291,1,5668.4501953125,HD 76700,http://exoplanet.eu/star.php?st=HD+76700
HD 79498 b,,3.1329557896,1966.1,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,RV,HD 79498,1.1281461716,1,5740,HD 79498,http://exoplanet.eu/star.php?st=HD+79498
WASP-13 b,15.569274887636503,0.0537034795,4.353011,Skillen 2009,http://adsabs.harvard.edu/abs/2009A%26A...502..391S,Skillen 2009,http://adsabs.harvard.edu/abs/2009A%26A...502..391S,Transit,WASP-13,1.5119999647,1,5826,WASP-13,http://exoplanet.eu/star.php?st=WASP-13
HD 80606 b,11.534041664210157,0.4473429322,111.4367,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...498L...5M,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375L..27N,RV,HD 80606,0.9800000191,1,5572.509765625,HD 80606,http://exoplanet.eu/star.php?st=HD+80606
HD 81040 b,0,1.9372031689,1001.7,Sozzetti 2006,http://adsabs.harvard.edu/abs/2006A%26A...449..417S,Sozzetti 2006,http://adsabs.harvard.edu/abs/2006A%26A...449..417S,RV,HD 81040,0.9188175797,1,5700,HD 81040,http://exoplanet.eu/star.php?st=HD+81040
HD 81688 b,0,0.8111476302,184.02,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S,RV,HD 81688,20.8233718872,1,4753,HD 81688,http://exoplanet.eu/star.php?st=HD+81688
HD 82943 c,0,0.7428171635,219.5,Lee 2006,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,Mayor 2004,http://adsabs.harvard.edu/abs/2005A%26A...440..751C,RV,HD 82943,1.0973795652,2,5997.1000976562,HD 82943,http://exoplanet.eu/star.php?st=HD+82943
HD 82943 b,0,1.1830000877,441.2,Lee 2006,http://adsabs.harvard.edu/abs/2006ApJ...641.1178L,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,RV,HD 82943,1.0973795652,2,5997.1000976562,HD 82943,http://exoplanet.eu/star.php?st=HD+82943
HD 82886 b,,1.5812659264,705,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV,HD 82886,3.8368496895,1,5112,HD 82886,http://exoplanet.eu/star.php?st=HD+82886
HD 83443 b,0,0.0404622629,2.985698,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2002,http://adsabs.harvard.edu/abs/2002ApJ...578..565B,RV,HD 83443,0.9425087571,1,5453.3999023438,HD 83443,http://exoplanet.eu/star.php?st=HD+83443
HD 85390 b,,1.5237691402,788,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,RV,HD 85390,0.9582328796,1,5186,HD 85390,http://exoplanet.eu/star.php?st=HD+85390
HD 85512 b,,0.260404855,58.43,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,RV,HD 85512,0.8819283247,1,4715,HD 85512,http://exoplanet.eu/star.php?st=HD+85512
WASP-19 b,15.535647710055096,0.0163151938,0.78884,Hellier 2011,http://adsabs.harvard.edu/abs/2011ApJ...730L..31H,Hebb 2010,http://adsabs.harvard.edu/abs/2010ApJ...708..224H,Transit,WASP-19,0.9900000095,1,5500,WASP-19,http://exoplanet.eu/star.php?st=WASP-19
HD 86081 b,0,0.0346186236,2.1375,Johnson 2006,http://adsabs.harvard.edu/abs/2006ApJ...647..600J,Johnson 2006,http://adsabs.harvard.edu/abs/2006ApJ...647..600J,RV,HD 86081,1.1890866756,1,6028,HD 86081,http://exoplanet.eu/star.php?st=HD+86081
HD 86264 b,0,2.8411655426,1475,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,RV,HD 86264,1.4991718531,1,6326,HD 86264,http://exoplanet.eu/star.php?st=HD+86264
BD -08 2823 c,,0.6791660786,237.6,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..46H,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..46H,RV,BD -08 2823,1.2785264254,2,4746,BD-082823,http://exoplanet.eu/star.php?st=BD-082823
BD -08 2823 b,,0.0558235794,5.6,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..46H,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..46H,RV,BD -08 2823,1.2785264254,2,4746,BD-082823,http://exoplanet.eu/star.php?st=BD-082823
HD 87883 b,0,3.5764827728,2754,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,RV,HD 87883,0.7783527374,1,4958,HD 87883,http://exoplanet.eu/star.php?st=HD+87883
HD 88133 b,0,0.0471739583,3.41587,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Fischer 2005,http://adsabs.harvard.edu/abs/2005ApJ...620..481F,RV,HD 88133,1.3182268143,1,5494,HD 88133,http://exoplanet.eu/star.php?st=HD+88133
BD +20 2457 c,0,2.0129368305,621.99,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,RV,BD +20 2457,42.7612915039,2,4137,BD20 2457,http://exoplanet.eu/star.php?st=BD20+2457
